id,name,email,phone,city,total_spend,order_count,last_purchase_at,created_at
3214bf62-64ef-47bb-b6e4-2841c2b962f9,Arjun Krishnamurthy,arjun_krishnamurthy@outlook.com,6656272980,Chennai,13505,1,2026-04-22T18:45:46Z,2025-12-14T15:58:13Z
7e70d140-9314-496c-a138-a6692d89101e,Priya Venkataraman,priya60@gmail.com,6162720465,Chennai,14763,3,2025-10-07T19:34:54Z,2024-09-11T01:18:33Z
508b8bc9-ca8b-47f5-98d1-512c1961ddd7,Karthik Subramanian,karthik_subramanian@outlook.com,8564641708,Chennai,21213,2,2026-04-09T03:39:41Z,2025-06-07T06:28:27Z
99bd1b9a-5f75-4ca1-b462-5d3e842cca53,Divya Raghunathan,divya.raghunathan@yahoo.in,7100330923,Chennai,773,1,2025-05-22T10:52:39Z,2024-09-06T11:56:24Z
91189592-8c4a-4e65-b3ec-ea4b12d35357,Suresh Natarajan,suresh_natarajan@outlook.com,6937452991,Chennai,15820,2,2026-04-05T19:36:21Z,2025-11-10T19:55:07Z
17181874-8f79-44f4-9488-1e8863b2adcb,Meena Sundaram,NULL,NULL,Chennai,9240,3,2026-04-05T23:30:17Z,2025-01-06T23:11:11Z
a53242b1-a95f-4680-90ea-3e46fd4f0a77,Vijay Annamalai,vijay.annamalai@yahoo.in,6904966319,Chennai,38903,4,2026-05-24T12:49:51Z,2025-05-16T01:29:34Z
dad5701d-e2f5-4309-aeb4-421d8f286aad,Lakshmi Gopalan,lakshmig@gmail.com,6491905865,Chennai,6968,2,2026-05-15T14:35:44Z,2025-08-03T04:58:02Z
097d765e-9237-488e-9e23-6fa549d2bfdf,Rajesh Murugan,rajesh18@gmail.com,8067165726,Chennai,3869,2,2026-04-13T12:30:24Z,2026-01-12T11:22:33Z
6ed52ba3-63c1-416c-af95-f7971e1f9b35,Kavitha Rajan,kavitha32@gmail.com,8987769453,Chennai,8974,1,2026-05-09T09:21:55Z,2025-05-05T03:00:53Z
f49d4908-2612-4056-9543-5c77a5ea7325,Senthil Ponnusamy,senthil.ponnusamy@yahoo.in,9379965075,Chennai,19713,2,2026-04-07T15:23:44Z,2025-03-26T16:32:42Z
5fef6ee9-bc11-46e5-a4e1-85b5eef4214c,Nithya Balakrishnan,nithya_balakrishnan@outlook.com,7545494808,Chennai,25453,3,2024-12-21T07:01:24Z,2023-08-16T10:25:49Z
df00be97-39cd-45eb-ab7a-bd4505e5f4e7,Arun Chandrasekaran,arun.chandrasekaran@gmail.com,7678377701,Chennai,19267,3,2026-04-09T02:10:25Z,2024-11-22T19:39:36Z
536af132-c14a-4ca3-8b2e-b3f8741a092a,Saranya Selvaraj,saranyas@gmail.com,9349578856,Chennai,13237,2,2026-04-23T14:44:11Z,2024-12-13T23:10:10Z
9fb6aade-e0d6-4d0d-84ed-5bcf148d33e8,Ganesh Iyer,ganesh.iyer@yahoo.in,8744431351,Chennai,24833,2,2026-04-11T11:43:21Z,2024-11-03T21:18:08Z
692872a7-4e37-40d4-ad5b-2752f2e2b350,Deepa Srinivasan,deepas@gmail.com,7374989413,Chennai,18977,2,2026-04-10T22:23:13Z,2025-06-23T14:01:13Z
9af4dbc4-5ecd-4036-a169-df148f55ca54,Manoj Pillai,manojp@gmail.com,8240824008,Chennai,47328,4,2026-04-15T22:33:17Z,2025-11-18T07:07:10Z
e8f34dfe-1b79-4452-89db-a5abd42bf75f,Shanthi Ramachandran,shanthir@gmail.com,9109477752,Chennai,19107,3,2026-04-03T09:19:25Z,2025-05-06T16:30:57Z
122fa6ca-dd60-49cd-88f2-a8ba526ac641,Bharath Kumarasamy,bharath.kumarasamy@yahoo.in,9116719022,Chennai,40721,4,2026-06-05T01:32:55Z,2025-05-19T11:12:43Z
a5afd662-3a41-43a9-9d1e-c7c2e6cf9409,Anitha Venkatesan,anitha.venkatesan@yahoo.in,6318699938,Chennai,20341,3,2026-06-07T16:15:11Z,2025-03-19T10:43:28Z
8c7443fd-6343-4ca0-bc0f-bad617c5094b,Praveen Subramaniam,praveen_subramaniam@outlook.com,9496499091,Chennai,2832,1,2026-04-09T06:41:30Z,2025-12-25T19:42:23Z
028bcf9a-604d-4b04-bbb3-d25015507e1e,Kamala Narayanan,kamalan@gmail.com,8123281206,Chennai,18584,2,2026-06-09T11:20:06Z,2025-12-10T14:33:41Z
c0165795-62b7-4861-a9e1-e60e6a71f54d,Dinesh Thiagarajan,dinesh67@gmail.com,9403447134,Chennai,20895,2,2026-04-24T07:06:44Z,2025-10-25T15:58:00Z
4ae128b3-87f7-4a4b-97a9-2cf3642dad3c,Rekha Arumugam,rekha90@gmail.com,7618324210,Chennai,22910,4,2026-04-10T07:12:01Z,2025-08-21T11:20:52Z
a77c6b6d-fb3d-4391-9f65-1056693970e9,Prakash Seshadri,prakash.seshadri@yahoo.in,8717464887,Chennai,5424,2,2025-03-02T10:44:56Z,2023-11-13T17:06:33Z
ef106986-0926-4025-bad5-d38e372338ba,Nandini Balasubramaniam,nandini.balasubramaniam@gmail.com,6659401399,Chennai,13455,2,2026-01-01T07:43:49Z,2025-06-02T03:06:24Z
77c52241-f39c-4172-ab47-99bcb3395367,Mohan Soundararajan,mohan.soundararajan@yahoo.in,6278742967,Chennai,32751,3,2026-04-29T16:47:11Z,2025-09-22T16:51:51Z
87529cb0-26f2-4357-8c24-4594e4df4f46,Usha Narasimhan,usha_narasimhan@outlook.com,8655125674,Chennai,4566,1,2026-03-03T07:52:31Z,2025-08-30T01:50:45Z
6d79d610-b08f-4415-87d9-7aa70b22a470,Harish Parthasarathy,harish_parthasarathy@outlook.com,6715451680,Chennai,1302,1,2026-05-15T03:06:50Z,2025-01-28T13:45:21Z
906777c0-3ce9-4eb3-a3b8-e870fc8f82ab,Geetha Krishnan,geetha94@gmail.com,9603859770,Chennai,17516,2,2025-01-11T00:57:03Z,2024-05-20T18:21:19Z
